中国联通-云南-酒店,#genre#
CCTV1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8
CCTV2,http://221.213.69.82:9901/tsfile/live/0002_1.m3u8
CCTV3,http://221.213.69.82:9901/tsfile/live/0003_1.m3u8
CCTV4,http://221.213.69.82:9901/tsfile/live/0004_1.m3u8
CCTV5,http://221.213.69.82:9901/tsfile/live/0005_1.m3u8
CCTV6,http://221.213.69.82:9901/tsfile/live/0006_1.m3u8
CCTV7,http://221.213.69.82:9901/tsfile/live/0007_1.m3u8
CCTV8,http://221.213.69.82:9901/tsfile/live/0008_1.m3u8
CCTV9,http://221.213.69.82:9901/tsfile/live/0009_1.m3u8
CCTV10,http://221.213.69.82:9901/tsfile/live/0010_1.m3u8
CCTV11,http://221.213.69.82:9901/tsfile/live/0011_1.m3u8
CCTV12,http://221.213.69.82:9901/tsfile/live/0012_1.m3u8
CCTV13,http://221.213.69.82:9901/tsfile/live/0013_1.m3u8
CCTV14,http://221.213.69.82:9901/tsfile/live/0014_1.m3u8
CCTV15,http://221.213.69.82:9901/tsfile/live/0015_1.m3u8
云南卫视,http://221.213.69.82:9901/tsfile/live/0019_1.m3u8
浙江卫视,http://221.213.69.82:9901/tsfile/live/0128_1.m3u8
江苏卫视,http://221.213.69.82:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://221.213.69.82:9901/tsfile/live/0127_2.m3u8
上海卫视,http://221.213.69.82:9901/tsfile/live/0127_1.m3u8
北京卫视,http://221.213.69.82:9901/tsfile/live/0130_1.m3u8
天津卫视,http://221.213.69.82:9901/tsfile/live/0122_1.m3u8
安徽卫视,http://221.213.69.82:9901/tsfile/live/0135_2.m3u8
深圳卫视,http://221.213.69.82:9901/tsfile/live/0135_1.m3u8
重庆卫视,http://221.213.69.82:9901/tsfile/live/0138_2.m3u8
山东卫视,http://221.213.69.82:9901/tsfile/live/0126_1.m3u8
辽宁卫视,http://221.213.69.82:9901/tsfile/live/0142_1.m3u8
湖北卫视,http://221.213.69.82:9901/tsfile/live/0121_1.m3u8
四川卫视,http://221.213.69.82:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://221.213.69.82:9901/tsfile/live/0132_1.m3u8
东南卫视,http://221.213.69.82:9901/tsfile/live/0123_1.m3u8
贵州卫视,http://221.213.69.82:9901/tsfile/live/0139_2.m3u8
广东卫视,http://221.213.69.82:9901/tsfile/live/0138_1.m3u8
河南卫视,http://221.213.69.82:9901/tsfile/live/0120_1.m3u8
吉林卫视,http://221.213.69.82:9901/tsfile/live/0125_1.m3u8
山西卫视,http://221.213.69.82:9901/tsfile/live/0139_1.m3u8
河北卫视,http://221.213.69.82:9901/tsfile/live/0116_1.m3u8
广西卫视,http://221.213.69.82:9901/tsfile/live/0118_1.m3u8
陕西卫视,http://221.213.69.82:9901/tsfile/live/0136_1.m3u8
甘肃卫视,http://221.213.69.82:9901/tsfile/live/0113_1.m3u8
青海卫视,http://221.213.69.82:9901/tsfile/live/0109_2.m3u8
内蒙古卫视,http://221.213.69.82:9901/tsfile/live/0140_1.m3u8
海南卫视,http://221.213.69.82:9901/tsfile/live/0141_1.m3u8
厦门卫视,http://221.213.69.82:9901/tsfile/live/0112_1.m3u8
金鹰卡通,http://221.213.69.82:9901/tsfile/live/0109_1.m3u8
优漫卡通,http://221.213.69.82:9901/tsfile/live/1003_1.m3u8
佳嘉卡通,http://221.213.69.82:9901/tsfile/live/0115_1.m3u8
哈哈炫动,http://221.213.69.82:9901/tsfile/live/1005_1.m3u8
北京卡通,http://221.213.69.82:9901/tsfile/live/1007_1.m3u8
