中国电信-贵州-组播,#genre#
湖南茶叶频道,http://218.86.153.10:9007/udp/238.255.2.192:5999
湖南快乐垂钓,http://218.86.153.10:9007/udp/238.255.2.191:5999
湖南快乐购,http://218.86.153.10:9007/udp/238.255.2.206:5999
欢笑剧场4K,http://218.86.153.10:9007/udp/238.255.2.215:5999
环球奇观,http://218.86.153.10:9007/udp/238.255.2.43:5999
黄果树瀑布直播,http://218.86.153.10:9007/udp/238.255.2.163:5999
纪实人文,http://218.86.153.10:9007/udp/238.255.2.106:5999
家有购物,http://218.86.153.10:9007/udp/238.255.2.10:5999
嘉佳卡通,http://218.86.153.10:9007/udp/238.255.2.62:5999
江苏财富天下,http://218.86.153.10:9007/udp/238.255.2.186:5999
江苏靓妆频道,http://218.86.153.10:9007/udp/238.255.2.177:5999
金鹰纪实,http://218.86.153.10:9007/udp/238.255.2.108:5999
金鹰卡通,http://218.86.153.10:9007/udp/238.255.2.55:5999
凯里卫视,http://218.86.153.10:9007/udp/238.255.2.180:5999
乐游,http://218.86.153.10:9007/udp/238.255.2.188:5999
雷山综合,http://218.86.153.10:9007/udp/238.255.2.128:5999
六盘水卫视1,http://218.86.153.10:9007/udp/238.255.2.115:5999
六盘水卫视2,http://218.86.153.10:9007/udp/238.255.2.116:5999
农林卫视,http://218.86.153.10:9007/udp/238.255.2.120:5999
汽摩频道,http://218.86.153.10:9007/udp/238.255.2.148:5999
黔东南卫视,http://218.86.153.10:9007/udp/238.255.2.179:5999
黔南卫视1,http://218.86.153.10:9007/udp/238.255.2.216:5999
黔南卫视2,http://218.86.153.10:9007/udp/238.255.2.151:5999
黔西南公共,http://218.86.153.10:9007/udp/238.255.2.127:5999
黔西南综合,http://218.86.153.10:9007/udp/238.255.2.126:5999
摄影频道,http://218.86.153.10:9007/udp/238.255.2.8:5999
生活时尚,http://218.86.153.10:9007/udp/238.255.2.193:5999
四川康巴卫视,http://218.86.153.10:9007/udp/238.255.2.140:5999
天元围棋,http://218.86.153.10:9007/udp/238.255.2.7:5999
铜仁卫视1,http://218.86.153.10:9007/udp/238.255.2.31:5999
铜仁卫视2,http://218.86.153.10:9007/udp/238.255.2.87:5999
瓮安卫视,http://218.86.153.10:9007/udp/238.255.2.201:5999
新视觉,http://218.86.153.10:9007/udp/238.255.2.195:5999
延边卫视,http://218.86.153.10:9007/udp/238.255.2.204:5999
优漫卡通,http://218.86.153.10:9007/udp/238.255.2.57:5999
游戏风云,http://218.86.153.10:9007/udp/238.255.2.197:5999
中国交通,http://218.86.153.10:9007/udp/238.255.2.220:5999
中央新影发现之旅,http://218.86.153.10:9007/udp/238.255.2.184:5999
中央新影老故事,http://218.86.153.10:9007/udp/238.255.2.35:5999
中央新影中学生,http://218.86.153.10:9007/udp/238.255.2.181:5999
遵义都市,http://218.86.153.10:9007/udp/238.255.2.154:5999
遵义公共,http://218.86.153.10:9007/udp/238.255.2.152:5999
遵义综合,http://218.86.153.10:9007/udp/238.255.2.153:5999
