綜合,#genre#
第1商業台,http://127.0.0.1:5000/litv/4gtv-4gtv104
電影戲劇,#genre#
民視影劇台,http://127.0.0.1:5000/litv/litv-ftv09
中視經典台,http://127.0.0.1:5000/litv/4gtv-4gtv080
靖天戲劇台,http://127.0.0.1:5000/litv/4gtv-4gtv058
靖天電影台,http://127.0.0.1:5000/litv/4gtv-4gtv061
龍華戲劇台,http://127.0.0.1:5000/litv/litv-longturn18
龍華經典台,http://127.0.0.1:5000/litv/litv-longturn21
龍華電影台,http://127.0.0.1:5000/litv/litv-longturn03
靖洋戲劇台,http://127.0.0.1:5000/litv/4gtv-4gtv045
TVBS 台劇台,http://127.0.0.1:5000/4gtv/285
影迷數位紀實台,http://127.0.0.1:5000/4gtv/212
影迷數位電影台,http://127.0.0.1:5000/litv/4gtv-4gtv011
AMC 最愛電影,http://127.0.0.1:5000/litv/4gtv-4gtv017
CatchPlay 電影台,http://127.0.0.1:5000/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影,http://127.0.0.1:5000/4gtv/176
公視戲劇台,http://127.0.0.1:5000/litv/4gtv-4gtv042
采昌影劇台,http://127.0.0.1:5000/litv/4gtv-4gtv049
台灣戲劇台,http://127.0.0.1:5000/litv/litv-longturn22
戲劇免費看 1台,http://127.0.0.1:5000/4gtv/270
戲劇免費看 2台,http://127.0.0.1:5000/4gtv/244
經典電影台,http://127.0.0.1:5000/4gtv/201
電影免費看 2台,http://127.0.0.1:5000/4gtv/245
電影原聲台 CMusic,http://127.0.0.1:5000/4gtv/218
花系列 經典劇場,http://127.0.0.1:5000/4gtv/279
CinemaWorld,http://127.0.0.1:5000/4gtv/225
HITS 頻道,http://127.0.0.1:5000/4gtv/186
Rock Action,http://127.0.0.1:5000/4gtv/180
Rock Entertainment,http://127.0.0.1:5000/4gtv/275
金光布袋戲,http://127.0.0.1:5000/4gtv/236
霹靂布袋戲,http://127.0.0.1:5000/4gtv/301
生活旅遊,#genre#
民視旅遊台,http://127.0.0.1:5000/litv/litv-ftv07
ELTA 生活旅遊,http://127.0.0.1:5000/4gtv/237
ELTA生活英語,http://127.0.0.1:5000/litv/litv-longturn20
亞洲旅遊台,http://127.0.0.1:5000/litv/litv-longturn17
Global Trekker,http://127.0.0.1:5000/4gtv/252
Globetrotter 環遊旅行家,http://127.0.0.1:5000/litv/4gtv-4gtv016
LUXE TV,http://127.0.0.1:5000/4gtv/175
Pet Club TV,http://127.0.0.1:5000/4gtv/182
TV5MONDE Style,http://127.0.0.1:5000/4gtv/178
車迷 TV,http://127.0.0.1:5000/4gtv/160
Love Nature,http://127.0.0.1:5000/4gtv/139
Fun 探索娛樂台,http://127.0.0.1:5000/4gtv/274
幸福空間居家台,http://127.0.0.1:5000/4gtv/168
音樂綜藝,#genre#
民視綜藝台,http://127.0.0.1:5000/litv/4gtv-4gtv004
靖天育樂台,http://127.0.0.1:5000/litv/4gtv-4gtv062
靖天歡樂台,http://127.0.0.1:5000/litv/4gtv-4gtv054
龍華偶像台,http://127.0.0.1:5000/litv/litv-longturn12
龍華日韓台,http://127.0.0.1:5000/litv/litv-longturn11
TVBS 綜藝台,http://127.0.0.1:5000/4gtv/284
TVBS 歡樂台,http://127.0.0.1:5000/litv/4gtv-4gtv068
TVBS 精采台,http://127.0.0.1:5000/litv/4gtv-4gtv067
八大精彩台,http://127.0.0.1:5000/litv/4gtv-4gtv034
八大綜藝台,http://127.0.0.1:5000/litv/4gtv-4gtv039
ELTA 娛樂台,http://127.0.0.1:5000/litv/4gtv-4gtv070
Classica 古典樂,http://127.0.0.1:5000/litv/4gtv-4gtv059
Lifetime 娛樂頻道,http://127.0.0.1:5000/4gtv/217
MTV Live HD 音樂頻道,http://127.0.0.1:5000/4gtv/213
Mezzo Live,http://127.0.0.1:5000/litv/4gtv-4gtv083
豬哥亮歌廳秀,http://127.0.0.1:5000/litv/4gtv-4gtv006
Trace Urban,http://127.0.0.1:5000/litv/4gtv-4gtv082
少兒,#genre#
靖天映畫台,http://127.0.0.1:5000/litv/4gtv-4gtv055
靖天卡通台,http://127.0.0.1:5000/litv/4gtv-4gtv044
龍華卡通台,http://127.0.0.1:5000/litv/litv-longturn01
靖洋卡通 Nice Bingo,http://127.0.0.1:5000/litv/4gtv-4gtv057
DreamWorks 夢工廠動畫,http://127.0.0.1:5000/4gtv/282
Nickelodeon,http://127.0.0.1:5000/4gtv/185
Nick Jr. 兒童頻道,http://127.0.0.1:5000/4gtv/219
i-Fun 動漫台,http://127.0.0.1:5000/litv/litv-ftv15
兒童卡通台,http://127.0.0.1:5000/4gtv/269
精選動漫台,http://127.0.0.1:5000/4gtv/204
經典卡通台,http://127.0.0.1:5000/4gtv/202
達文西頻道,http://127.0.0.1:5000/litv/4gtv-4gtv018
超人力霸王整套看,http://127.0.0.1:5000/4gtv/278
MOMO 親子台,http://127.0.0.1:5000/4gtv/231
LiveABC 互動英語台,http://127.0.0.1:5000/4gtv/188
其他,#genre#
TVBS,http://127.0.0.1:5000/litv/4gtv-4gtv073
History 歷史頻道,http://127.0.0.1:5000/4gtv/214
CI 罪案偵查頻道,http://127.0.0.1:5000/4gtv/215
Smart 知識台,http://127.0.0.1:5000/litv/litv-longturn19
視納華仁紀實頻道,http://127.0.0.1:5000/litv/4gtv-4gtv013
原住民族電視台,http://127.0.0.1:5000/4gtv/273
客家電視台,http://127.0.0.1:5000/litv/4gtv-4gtv043
滾動力 Rollor,http://127.0.0.1:5000/4gtv/249
好消息,http://127.0.0.1:5000/litv/litv-ftv16
好消息2台,http://127.0.0.1:5000/litv/litv-ftv17
大愛電視,http://127.0.0.1:5000/4gtv/209
大愛電視2,http://127.0.0.1:5000/4gtv/230
人間衛視,http://127.0.0.1:5000/4gtv/210
國會頻道1,http://127.0.0.1:5000/litv/4gtv-4gtv084
國會頻道2,http://127.0.0.1:5000/litv/4gtv-4gtv085
東森購物一台,http://127.0.0.1:5000/4gtv/173
東森購物二台,http://127.0.0.1:5000/4gtv/174
東森購物三台,http://127.0.0.1:5000/4gtv/287
東森購物四台,http://127.0.0.1:5000/4gtv/286
體育,#genre#
博斯運動一台,http://127.0.0.1:5000/litv/litv-longturn07
博斯運動二台,http://127.0.0.1:5000/litv/litv-longturn08
博斯無限台,http://127.0.0.1:5000/litv/litv-longturn10
博斯無限二台,http://127.0.0.1:5000/litv/litv-longturn13
博斯網球台,http://127.0.0.1:5000/litv/litv-longturn09
博斯高球台,http://127.0.0.1:5000/litv/litv-longturn05
博斯高球二台,http://127.0.0.1:5000/litv/litv-longturn06
博斯魅力台,http://127.0.0.1:5000/litv/litv-longturn04
GINX Esports TV,http://127.0.0.1:5000/litv/4gtv-4gtv053
TechStorm,http://127.0.0.1:5000/4gtv/181
時尚運動X,http://127.0.0.1:5000/4gtv/277
智林體育台,http://127.0.0.1:5000/litv/4gtv-4gtv101
TraceSports,http://127.0.0.1:5000/litv/4gtv-4gtv077
