Smartv,#genre#
PPTV Thailand1,https://127.0.0.1:8080/smartv/pptv_pat.m3u8
One,https://127.0.0.1:8080/smartv/One.m3u8
Oasis,https://127.0.0.1:8080/smartv/Oasis.m3u8
Nickelodeon,https://127.0.0.1:8080/smartv/Nickelodeon.m3u8
Nick Jr,https://127.0.0.1:8080/smartv/Nickjr.m3u8
News 18 Tamil,https://127.0.0.1:8080/smartv/news18tamil_raj.m3u8
New,https://127.0.0.1:8080/smartv/new_pat.m3u8
Net TV,https://127.0.0.1:8080/smartv/NetTV.m3u8
Nation,https://127.0.0.1:8080/smartv/nation_pat.m3u8
国家地理,https://127.0.0.1:8080/smartv/natgeohd_twn.m3u8
地理野生动物,https://127.0.0.1:8080/smartv/natgeowildtamil_raj.m3u8
野生动物,https://127.0.0.1:8080/smartv/natgeowild_twn.m3u8
地理野生动物,https://127.0.0.1:8080/smartv/Natgeowild.m3u8
NatGeo Tamil,https://127.0.0.1:8080/smartv/natgeotamil_raj.m3u8
国家地理,https://127.0.0.1:8080/smartv/Natgeo.m3u8
More4,https://127.0.0.1:8080/smartv/more4_antik.m3u8
Momo TV,https://127.0.0.1:8080/smartv/momo1_twn.m3u8
MiaoMi,https://127.0.0.1:8080/smartv/MiaoMi.m3u8
Metro TV,https://127.0.0.1:8080/smartv/metrotv_eko.m3u8
Makkal TV,https://127.0.0.1:8080/smartv/Makkaltv.m3u8
AXNTaiwan,https://127.0.0.1:8080/smartv/axn_twn.m3u8
动物星球,https://127.0.0.1:8080/smartv/AnimalPlanet.m3u8
动物星球1,https://127.0.0.1:8080/smartv/animalplanet_twn.m3u8
Asianet,https://127.0.0.1:8080/smartv/asianet_raj.m3u8
Awani,https://127.0.0.1:8080/smartv/Awani.m3u8
AxnHD,https://127.0.0.1:8080/smartv/Axn.m3u8
Cinemax,https://127.0.0.1:8080/smartv/cinemax_twn.m3u8
CNBC,https://127.0.0.1:8080/smartv/cnbc_twn.m3u8
CelestialMoviesHD,https://127.0.0.1:8080/smartv/Celestialindo.m3u8
Channel3Thailand,https://127.0.0.1:8080/smartv/ch3_pat.m3u8
DiscoveryAsia,https://127.0.0.1:8080/smartv/discoverytwn_twn.m3u8
DiscoveryHD,https://127.0.0.1:8080/smartv/discoveryhd_twn.m3u8
DiscoveryKidsTamil,https://127.0.0.1:8080/smartv/discoverykidtamil_raj.m3u8
DiscoveryTurbo,https://127.0.0.1:8080/smartv/discoveryturbo_twn.m3u8
DiscoveryWorldTamil,https://127.0.0.1:8080/smartv/discoveryworldtam_raj.m3u8
BBC1,https://127.0.0.1:8080/smartv/bbc1_antik.m3u8
BBC2,https://127.0.0.1:8080/smartv/bbc2_antik.m3u8
BBCEarthHD,https://127.0.0.1:8080/smartv/bbcearth_twn.m3u8
BBCEarthTamil,https://127.0.0.1:8080/smartv/bbcearthtam_raj.m3u8
BBCWorldNews,https://127.0.0.1:8080/smartv/bbcnews_twn.m3u8
BTESPN,https://127.0.0.1:8080/smartv/btespn.m3u8
BTSports1,https://127.0.0.1:8080/smartv/beeone.m3u8
BTSports3,https://127.0.0.1:8080/smartv/beethree.m3u8
BloombergNews,https://127.0.0.1:8080/smartv/bloomberg_twn.m3u8
Boomerang,https://127.0.0.1:8080/smartv/Boomerang.m3u8
CBBC,https://127.0.0.1:8080/smartv/cbbc_antik.m3u8
CBSHD,https://127.0.0.1:8080/smartv/cbshd_glo.m3u8
CBSNHD,https://127.0.0.1:8080/smartv/cbsn_glo.m3u8
Muslim TV,https://127.0.0.1:8080/smartv/MuslimTV.m3u8
itv1,https://127.0.0.1:8080/smartv/itv1_antik.m3u8
