中国联通-湖北-组播,#genre#
贵州卫视HD,http://183.92.150.253:2121/udp/228.0.0.160:7160
宁夏卫视,http://183.92.150.253:2121/udp/228.0.0.30:6108
广西卫视,http://183.92.150.253:2121/udp/228.0.0.37:6108
海南卫视HD,http://183.92.150.253:2121/udp/228.0.0.165:7165
河南卫视HD,http://183.92.150.253:2121/udp/228.0.0.230:6108
四川卫视HD,http://183.92.150.253:2121/udp/228.0.0.231:6108
吉林卫视,http://183.92.150.253:2121/udp/228.0.0.45:6108
山西卫视,http://183.92.150.253:2121/udp/228.0.0.47:6108
云南卫视,http://183.92.150.253:2121/udp/228.0.0.48:6108
西藏卫视,http://183.92.150.253:2121/udp/228.0.0.51:6108
内蒙古卫视,http://183.92.150.253:2121/udp/228.0.0.52:6108
新疆卫视,http://183.92.150.253:2121/udp/228.0.0.53:6108
青海卫视,http://183.92.150.253:2121/udp/228.0.0.54:6108
河北卫视HD,http://183.92.150.253:2121/udp/228.0.0.168:7168
陕西卫视,http://183.92.150.253:2121/udp/228.0.0.56:6108
甘肃卫视,http://183.92.150.253:2121/udp/228.0.0.57:6108
卡酷动画,http://183.92.150.253:2121/udp/228.0.0.58:6108
金鹰卡通,http://183.92.150.253:2121/udp/228.0.0.59:6108
金鹰纪实HD,http://183.92.150.253:2121/udp/228.0.0.145:7145
中国教育-1HD,http://183.92.150.253:2121/udp/228.0.0.146:7146
三沙卫视,http://183.92.150.253:2121/udp/228.0.0.174:7174
中国教育4,http://183.92.150.253:2121/udp/228.0.0.177:7177
CCTV-1,http://183.92.150.253:2121/udp/228.0.0.167:7167
CCTV-2,http://183.92.150.253:2121/udp/228.0.0.213:6108
CCTV-3,http://183.92.150.253:2121/udp/228.0.0.214:6108
CCTV-4,http://183.92.150.253:2121/udp/228.0.0.215:6108
CCTV-5,http://183.92.150.253:2121/udp/228.0.0.5:6108
CCTV-6,http://183.92.150.253:2121/udp/228.0.0.217:6108
CCTV-7,http://183.92.150.253:2121/udp/228.0.0.218:6108
CCTV-8,http://183.92.150.253:2121/udp/228.0.0.219:6108
CCTV-9,http://183.92.150.253:2121/udp/228.0.0.220:6108
CCTV-10,http://183.92.150.253:2121/udp/228.0.0.221:6108
CCTV-11,http://183.92.150.253:2121/udp/228.0.0.222:6108
CCTV-12,http://183.92.150.253:2121/udp/228.0.0.223:6108
CCTV-13,http://183.92.150.253:2121/udp/228.0.0.13:6108
宜昌综合HD,http://183.92.150.253:2121/udp/228.0.0.225:6108
宜昌旅游HD,http://183.92.150.253:2121/udp/228.0.0.226:6108
恩施综合,http://183.92.150.253:2121/udp/228.0.0.228:6108
恩施文旅,http://183.92.150.253:2121/udp/228.0.0.229:6108
孝感新闻,http://183.92.150.253:2121/udp/228.0.0.107:6108
孝感生活,http://183.92.150.253:2121/udp/228.0.0.108:6108
随州综合,http://183.92.150.253:2121/udp/228.0.0.110:6108
随州农村,http://183.92.150.253:2121/udp/228.0.0.111:6108
CETV2,http://183.92.150.253:2121/udp/228.0.0.198:7198
环球奇观,http://183.92.150.253:2121/udp/228.0.0.73:6108
国学频道,http://183.92.150.253:2121/udp/228.0.0.75:6108
游戏竞技,http://183.92.150.253:2121/udp/228.0.0.78:6108
靓妆,http://183.92.150.253:2121/udp/228.0.0.86:6108
财富天下,http://183.92.150.253:2121/udp/228.0.0.88:6108
房县新闻,http://183.92.150.253:2121/udp/228.0.0.31:6108
快乐垂钓,http://183.92.150.253:2121/udp/228.0.0.203:6108
CHC家庭影院,http://183.92.150.253:2121/udp/228.0.0.211:6108
CHC动作电影,http://183.92.150.253:2121/udp/228.0.0.212:6108
CHC高清电影,http://183.92.150.253:2121/udp/228.0.0.233:6108
茶频道,http://183.92.150.253:2121/udp/228.0.0.234:6108
第一剧场,http://183.92.150.253:2121/udp/228.0.0.235:6108
风云足球,http://183.92.150.253:2121/udp/228.0.0.236:6108
怀旧剧场,http://183.92.150.253:2121/udp/228.0.0.237:6108
老故事,http://183.92.150.253:2121/udp/228.0.0.238:6108
网络棋牌,http://183.92.150.253:2121/udp/228.0.0.239:6108
新动漫,http://183.92.150.253:2121/udp/228.0.0.240:6108
先锋乒羽,http://183.92.150.253:2121/udp/228.0.0.241:6108
