中国联通-天津-酒店,#genre#
海南卫视,http://111.160.17.2:59901/tsfile/live/0001_35.m3u8
黑龙江卫视,http://111.160.17.2:59901/tsfile/live/0001_36.m3u8
吉林卫视,http://111.160.17.2:59901/tsfile/live/0001_37.m3u8
江苏卫视,http://111.160.17.2:59901/tsfile/live/0001_38.m3u8
河北卫视,http://111.160.17.2:59901/tsfile/live/0001_39.m3u8
浙江卫视,http://111.160.17.2:59901/tsfile/live/0001_40.m3u8
辽宁卫视,http://111.160.17.2:59901/tsfile/live/0001_41.m3u8
上海卫视,http://111.160.17.2:59901/tsfile/live/0001_42.m3u8
江西卫视,http://111.160.17.2:59901/tsfile/live/0001_43.m3u8
广西卫视,http://111.160.17.2:59901/tsfile/live/0001_44.m3u8
三沙卫视,http://111.160.17.2:59901/tsfile/live/0001_45.m3u8
贵州卫视,http://111.160.17.2:59901/tsfile/live/0001_46.m3u8
河南卫视,http://111.160.17.2:59901/tsfile/live/0001_47.m3u8
广东卫视,http://111.160.17.2:59901/tsfile/live/0001_48.m3u8
深圳卫视,http://111.160.17.2:59901/tsfile/live/0001_49.m3u8
湖南卫视，,http://111.160.17.2:59901/tsfile/live/0001_50.m3u8
中国联通-吉林-酒店,#genre#
CCTV1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8
CCTV3,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8
CCTV4,http://61.138.128.226:19901/tsfile/live/0004_1.m3u8
CCTV5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8
CCTV6,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8
CCTV7,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8
CCTV8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8
CCTV9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8
CCTV10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8
CCTV11,http://61.138.128.226:19901/tsfile/live/0011_2.m3u8
CCTV12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8
CCTV13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8
CCTV14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8
CCTV15,http://61.138.128.226:19901/tsfile/live/0019_1.m3u8
吉林卫视,http://61.138.128.226:19901/tsfile/live/1022_1.m3u8
吉视都市,http://61.138.128.226:19901/tsfile/live/1000_1.m3u8
吉视影视,http://61.138.128.226:19901/tsfile/live/1001_1.m3u8
吉视生活,http://61.138.128.226:19901/tsfile/live/1002_1.m3u8
吉视乡村,http://61.138.128.226:19901/tsfile/live/1003_1.m3u8
金鹰纪实,http://61.138.128.226:19901/tsfile/live/1004_1.m3u8
吉视综艺文化,http://61.138.128.226:19901/tsfile/live/1005_1.m3u8
CCTV5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8
家庭影院,http://61.138.128.226:19901/tsfile/live/1007_1.m3u8
延边卫视,http://61.138.128.226:19901/tsfile/live/1008_1.m3u8
吉林教育,http://61.138.128.226:19901/tsfile/live/1009_1.m3u8
长影,http://61.138.128.226:19901/tsfile/live/1010_1.m3u8
吉林市1,http://61.138.128.226:19901/tsfile/live/1011_1.m3u8
