中国联通-黑龙江-组播,#genre#
江西卫视高清,http://218.9.253.251:4000/udp/229.58.190.208:5000
江西卫视,http://218.9.253.251:4000/udp/229.58.190.74:5000
江苏卫视高清,http://218.9.253.251:4000/udp/229.58.190.37:5000
江苏卫视,http://218.9.253.251:4000/udp/229.58.190.147:5000
嘉佳卡通,http://218.9.253.251:4000/udp/229.58.190.107:5000
家有购物,http://218.9.253.251:4000/udp/229.58.190.29:5000
家庭理财,http://218.9.253.251:4000/udp/229.58.190.106:5000
佳木斯新闻,http://218.9.253.251:4000/udp/229.58.190.163:5000
纪实人文HD,http://218.9.253.251:4000/udp/229.58.190.102:5000
纪实人文,http://218.9.253.251:4000/udp/229.58.190.94:5000
极速汽车,http://218.9.253.251:4000/udp/229.58.190.76:5000
吉林卫视高清,http://218.9.253.251:4000/udp/229.58.190.214:5000
吉林卫视,http://218.9.253.251:4000/udp/229.58.190.140:5000
环球奇观,http://218.9.253.251:4000/udp/229.58.190.13:5000
环球购物,http://218.9.253.251:4000/udp/229.58.190.5:5000
CCTV怀旧剧场,http://218.9.253.251:4000/udp/229.58.190.78:5000
湖南卫视高清,http://218.9.253.251:4000/udp/229.58.190.128:5000
湖南卫视,http://218.9.253.251:4000/udp/229.58.190.142:5000
湖南金鹰卡通卫视,http://218.9.253.251:4000/udp/229.58.190.181:5000
湖北卫视高清,http://218.9.253.251:4000/udp/229.58.190.101:5000
湖北卫视,http://218.9.253.251:4000/udp/229.58.190.148:5000
河南卫视高清,http://218.9.253.251:4000/udp/229.58.190.103:5000
河南卫视,http://218.9.253.251:4000/udp/229.58.190.62:5000
河北卫视高清,http://218.9.253.251:4000/udp/229.58.190.209:5000
河北卫视,http://218.9.253.251:4000/udp/229.58.190.55:5000
海南卫视高清,http://218.9.253.251:4000/udp/229.58.190.213:5000
海南卫视,http://218.9.253.251:4000/udp/229.58.190.141:5000
哈哈炫动,http://218.9.253.251:4000/udp/229.58.190.96:5000
国学频道,http://218.9.253.251:4000/udp/229.58.190.119:5000
贵州卫视高清,http://218.9.253.251:4000/udp/229.58.190.100:5000
贵州卫视,http://218.9.253.251:4000/udp/229.58.190.143:5000
广西卫视,http://218.9.253.251:4000/udp/229.58.190.145:5000
广东卫视高清,http://218.9.253.251:4000/udp/229.58.190.53:5000
广东卫视,http://218.9.253.251:4000/udp/229.58.190.139:5000
甘肃卫视,http://218.9.253.251:4000/udp/229.58.190.185:5000
东南卫视,http://218.9.253.251:4000/udp/229.58.190.180:5000
CCTV风云足球,http://218.9.253.251:4000/udp/229.58.190.190:5000
CCTV风云音乐,http://218.9.253.251:4000/udp/229.58.190.188:5000
CCTV风云剧场,http://218.9.253.251:4000/udp/229.58.190.170:5000
风尚购物,http://218.9.253.251:4000/udp/229.58.190.45:5000
法治天地,http://218.9.253.251:4000/udp/229.58.190.110:5000
都市剧场,http://218.9.253.251:4000/udp/229.58.190.70:5000
动漫秀场,http://218.9.253.251:4000/udp/229.58.190.97:5000
东南卫视高清,http://218.9.253.251:4000/udp/229.58.190.168:5000
东方卫视高清,http://218.9.253.251:4000/udp/229.58.190.54:5000
东方财经,http://218.9.253.251:4000/udp/229.58.190.105:5000
CCTV第一剧场,http://218.9.253.251:4000/udp/229.58.190.171:5000
导视,http://218.9.253.251:4000/udp/229.58.190.6:5000
茶频道,http://218.9.253.251:4000/udp/229.58.190.111:5000
财富天下,http://218.9.253.251:4000/udp/229.58.190.109:5000
兵团卫视,http://218.9.253.251:4000/udp/229.58.190.178:5000
CCTV兵器科技,http://218.9.253.251:4000/udp/229.58.190.189:5000
北京卫视高清,http://218.9.253.251:4000/udp/229.58.190.172:5000
北京卫视,http://218.9.253.251:4000/udp/229.58.190.65:5000
北京纪实科教,http://218.9.253.251:4000/udp/229.58.190.21:5000
百变课堂,http://218.9.253.251:4000/udp/229.58.190.89:5000
安徽卫视高清,http://218.9.253.251:4000/udp/229.58.190.162:5000
安徽卫视,http://218.9.253.251:4000/udp/229.58.190.71:5000
CGTN,http://218.9.253.251:4000/udp/229.58.190.23:5000
CETV早期教育,http://218.9.253.251:4000/udp/229.58.190.174:5000
CETV4,http://218.9.253.251:4000/udp/229.58.190.66:5000
CETV2,http://218.9.253.251:4000/udp/229.58.190.59:5000
CETV1,http://218.9.253.251:4000/udp/229.58.190.26:5000
CCTV女性时尚,http://218.9.253.251:4000/udp/229.58.190.187:5000
CCTV高尔夫网球,http://218.9.253.251:4000/udp/229.58.190.11:5000
CCTV法语,http://218.9.253.251:4000/udp/229.58.190.8:5000
CCTV俄语,http://218.9.253.251:4000/udp/229.58.190.20:5000
CCTV电视指南,http://218.9.253.251:4000/udp/229.58.190.191:5000
CCTV英语新闻,http://218.9.253.251:4000/udp/229.58.190.138:5000

中国联通-辽宁-组播,#genre#
辽宁卫视,http://175.172.204.27:8888/udp/232.0.0.126:1234
辽宁都市,http://175.172.204.27:8888/udp/232.0.0.154:1234
辽宁影视剧,http://175.172.204.27:8888/udp/232.0.0.25:1234
辽宁体育,http://175.172.204.27:8888/udp/232.0.0.164:1234
辽宁生活,http://175.172.204.27:8888/udp/232.0.0.150:1234
辽宁教育青少,http://175.172.204.27:8888/udp/232.0.0.241:1234
辽宁北方,http://175.172.204.27:8888/udp/232.0.0.151:1234
辽宁宜佳购物,http://175.172.204.27:8888/udp/232.0.0.30:1234
辽宁公共,http://175.172.204.27:8888/udp/232.0.0.168:1234
辽宁经济,http://175.172.204.27:8888/udp/232.0.0.156:1234
CCTV-1综合,http://175.172.204.27:8888/udp/232.0.0.27:1234
CCTV-2财经,http://175.172.204.27:8888/udp/232.0.0.135:1234
CCTV-3综艺,http://175.172.204.27:8888/udp/232.0.0.170:1234
CCTV-4国际,http://175.172.204.27:8888/udp/232.0.0.201:1234
CCTV-5体育,http://175.172.204.27:8888/udp/232.0.0.171:1234
CCTV-6电影,http://175.172.204.27:8888/udp/232.0.0.172:1234
CCTV-7国防军事,http://175.172.204.27:8888/udp/232.0.0.136:1234
CCTV-8电视剧,http://175.172.204.27:8888/udp/232.0.0.173:1234
CCTV-9纪录,http://175.172.204.27:8888/udp/232.0.0.137:1234
CCTV-10科教,http://175.172.204.27:8888/udp/232.0.0.138:1234
CCTV-11戏曲,http://175.172.204.27:8888/udp/232.0.0.178:1234
CCTV-12社会与法,http://175.172.204.27:8888/udp/232.0.0.139:1234
CCTV-13新闻,http://175.172.204.27:8888/udp/232.0.0.15:1234
CCTV-14少儿,http://175.172.204.27:8888/udp/232.0.0.140:1234
CCTV-15音乐,http://175.172.204.27:8888/udp/232.0.0.179:1234
CCTV-16奥林匹克,http://175.172.204.27:8888/udp/232.0.0.182:1234
CCTV-17高清,http://175.172.204.27:8888/udp/232.0.0.230:1234
CCTV5+体育赛事,http://175.172.204.27:8888/udp/232.0.0.93:1234
CGTN-英语新闻,http://175.172.204.27:8888/udp/232.0.0.188:1234
CGTN-纪录(国际版),http://175.172.204.27:8888/udp/232.0.0.198:1234
CGTN-俄语国际,http://175.172.204.27:8888/udp/232.0.0.28:1234
CGTN-西班牙语国际,http://175.172.204.27:8888/udp/232.0.0.6:1234
CGTN-阿拉伯语国际,http://175.172.204.27:8888/udp/232.0.0.43:1234
CGTN-法语国际,http://175.172.204.27:8888/udp/232.0.0.8:1234
